size_m2,bedrooms,distance_center,building_age,monthly_rent,premium_area
50,3,19.38,19,1432.04,0
101,1,11.53,21,4658.67,0
124,1,17.29,2,5892.47,1
96,3,24.81,5,4189.41,0
120,4,5.99,31,7387.56,1
42,5,16.01,19,2276.98,0
145,3,15.56,9,7614.34,1
39,4,4.68,1,2704.63,0
101,5,3.49,29,6565.93,1
58,3,23.08,36,1636.39,0
93,2,13.72,3,4747.18,1
131,4,18.22,15,6681.51,1
93,1,15.17,5,4047.09,1
74,2,9.25,10,3592.37,0
83,1,11.15,9,4289.84,1
66,4,12.29,34,3639.18,0
142,2,0.79,2,9442.45,1
97,2,0.37,21,5670.36,1
89,2,3.56,5,5798.03,1
42,1,0.95,4,2581.43,0
56,5,10.24,34,3215.35,1
49,5,19.65,3,2511.26,0
129,4,21.15,25,6263.94,1
98,1,20.48,11,3975.79,0
45,4,18.68,26,1642.51,0
71,1,18.73,21,1923.1,0
36,3,7.39,26,1794.06,0
119,2,1.61,5,7729.1,1
144,4,14.17,25,7792.4,1
40,2,3.67,31,1698.35,0
53,4,11.65,29,2910.75,0
27,3,9.55,36,1210.15,0
57,4,4.48,15,3979.14,1
33,5,14.31,25,1941.58,0
133,2,22.26,6,5924.36,0
147,3,7.37,17,8617.24,1
118,4,23.78,18,5313.96,1
79,5,10.22,18,5267.08,1
106,4,8.78,3,6910.66,1
102,5,4.65,33,6535.84,1
48,4,12.31,8,2619.56,0
106,5,6.55,39,6584.9,1
92,5,22.34,4,4347.48,0
67,1,1.46,5,4338.39,1
41,3,15.75,2,1516.31,0
45,5,12.35,20,2475.44,0
59,4,4.23,24,3883.97,1
64,4,20.94,27,2200.37,0
25,2,20.34,33,1200.0,0
75,5,21.95,13,3523.32,0
139,4,21.64,28,6740.36,1
41,2,0.77,10,3051.22,0
72,5,7.59,28,4622.02,1
112,2,22.17,33,4537.43,0
86,1,12.82,26,3632.55,0
27,1,3.75,38,1200.0,0
78,3,13.33,31,3565.7,0
114,4,18.04,38,5185.7,1
139,4,3.62,8,8947.36,1
111,4,9.7,13,6647.01,1
76,1,5.03,17,4260.11,0
26,5,11.83,20,1526.68,0
26,5,13.72,14,1676.81,0
121,4,17.91,30,6537.41,1
140,4,23.48,25,6536.21,1
69,5,18.45,1,3830.23,1
54,3,16.18,27,1704.14,0
82,3,12.19,31,4360.99,0
139,3,11.15,2,8180.09,1
146,2,15.86,20,7607.78,1
130,4,23.55,13,6213.99,1
102,5,24.56,16,5111.78,0
81,4,21.09,33,3283.11,0
110,4,7.67,16,6743.14,1
93,2,24.02,8,3399.17,0
148,4,22.11,38,7453.05,1
143,4,13.97,21,8123.72,1
45,5,16.93,29,2122.2,0
51,3,23.48,15,1200.0,0
35,4,7.09,8,2454.54,0
52,5,16.85,32,2557.72,0
149,2,22.89,20,6442.52,0
132,2,11.68,20,6804.9,1
42,1,15.09,17,1200.0,0
128,5,5.06,18,8342.74,1
111,2,12.38,19,5629.74,0
64,5,7.06,12,4564.89,1
113,3,3.51,1,7326.2,1
63,1,14.44,19,2004.71,0
27,3,3.74,4,1728.46,0
128,4,2.49,31,8084.66,1
93,5,18.17,39,4693.97,0
75,4,20.8,8,2957.18,0
144,5,8.49,0,9214.33,1
91,2,13.74,35,3778.08,0
25,2,22.04,1,1200.0,0
50,1,18.6,26,1200.0,0
67,1,10.22,9,2960.47,0
143,4,9.22,36,8066.11,1
90,5,6.8,15,5782.54,1
108,5,23.23,7,5504.17,1
145,5,23.57,33,7095.35,1
75,4,10.03,6,4721.14,0
49,3,11.39,26,1997.93,0
127,3,19.25,35,5187.17,1
140,1,1.68,30,7959.12,1
118,4,23.4,31,5204.94,0
83,3,14.94,30,3961.18,0
25,5,17.06,22,1200.0,0
108,5,5.88,17,7371.37,1
67,1,19.74,29,1583.23,0
50,4,3.11,39,3049.73,0
145,4,19.14,28,7230.26,1
117,5,10.12,27,6975.58,1
104,4,6.59,2,7177.79,1
116,3,1.49,6,7905.36,1
136,3,8.61,4,8688.26,1
105,1,22.66,5,4308.49,0
131,5,10.8,3,8455.48,1
94,2,2.51,15,5873.17,1
148,5,17.21,17,8370.7,1
92,3,17.85,17,4407.42,0
51,5,1.82,37,3767.87,1
72,3,18.28,2,3275.25,0
90,2,23.02,36,2773.44,0
89,5,13.8,13,5406.59,1
61,5,23.98,5,2760.37,0
54,2,4.44,6,3214.52,0
149,5,16.62,22,8054.0,1
66,5,14.28,15,3499.42,1
65,2,9.01,18,2939.27,0
146,4,18.75,26,7341.15,1
88,2,5.08,8,5034.16,1
42,5,3.65,10,3748.68,1
66,3,11.25,18,3431.94,0
46,4,23.18,27,1200.0,0
98,4,11.57,26,5541.03,1
60,2,16.86,39,1489.89,0
129,3,13.6,22,6894.62,1
69,5,8.03,32,4110.92,1
132,1,19.87,2,6082.32,1
44,4,11.02,3,3082.94,1
138,2,14.91,30,6803.77,1
107,2,1.59,39,5808.52,1
109,3,11.8,17,5723.92,1
132,5,17.77,35,7059.04,1
116,3,1.78,20,7194.28,1
96,3,15.71,8,4665.05,1
78,3,15.96,35,3352.02,0
108,4,23.46,8,5122.67,1
39,5,14.63,8,2588.23,0
51,2,10.26,30,1890.47,0
100,4,9.85,17,5925.81,1
94,5,17.18,36,4332.49,1
130,2,23.74,2,5832.46,1
73,4,12.94,0,4250.21,1
128,5,11.32,36,7328.87,1
92,4,12.3,14,5062.88,1
41,1,10.88,19,1200.0,0
85,4,23.15,29,3356.25,0
125,1,15.99,3,5965.87,0
100,3,24.96,12,3825.44,0
132,2,1.59,15,7749.62,1
33,3,2.77,30,2151.47,0
86,3,24.11,23,2889.17,0
111,4,5.43,16,6805.62,1
145,3,8.17,28,8217.63,1
48,5,7.2,8,3698.59,1
68,5,2.55,39,4847.43,1
55,3,15.77,32,2107.82,0
122,3,19.1,31,6130.72,1
120,1,22.73,22,4367.03,0
104,4,3.67,15,7026.51,1
96,3,9.73,36,5140.29,0
53,4,6.26,1,3522.19,1
137,5,2.66,27,9090.4,1
41,3,11.03,4,2189.34,0
58,3,5.27,33,3333.52,0
66,1,11.86,7,3179.11,0
132,4,11.82,4,7830.78,1
87,4,7.33,14,5886.89,1
67,4,5.47,2,4858.96,1
27,5,22.08,36,1200.0,0
83,1,13.53,33,3463.91,0
116,2,1.55,1,7301.2,1
77,3,5.94,28,4269.08,1
93,4,24.23,6,3963.2,1
63,4,15.51,23,2861.37,0
122,3,24.58,35,4783.28,0
42,1,3.95,30,1862.13,0
94,4,1.94,21,6304.38,1
49,4,8.56,35,2638.34,0
40,5,24.29,27,1200.0,0
133,3,23.09,38,5708.04,0
58,4,12.23,1,3570.28,1
116,4,4.18,25,7680.84,1
120,3,21.76,1,6150.1,1
65,1,9.31,33,2305.05,0
26,2,23.04,10,1200.0,0
97,5,5.18,32,6027.98,1
86,1,5.93,24,4317.37,0
148,4,8.48,20,9112.73,1
143,2,10.72,38,7477.43,1
75,3,12.99,5,4255.9,1
89,1,3.95,34,4593.56,0
112,3,12.87,18,6093.8,1
44,4,16.02,8,1953.59,0
101,4,24.83,18,4513.71,0
55,4,23.79,4,1922.43,0
28,1,4.36,14,1413.21,0
121,5,8.22,29,7749.11,1
47,1,3.78,19,2236.27,0
82,5,0.6,14,6385.51,1
90,4,2.61,16,6206.5,1
25,5,21.42,10,1200.0,0
68,4,5.33,14,5118.66,1
125,4,10.79,28,6985.54,1
101,4,17.04,12,5189.12,1
142,3,13.79,17,7751.5,1
110,1,19.5,37,3880.97,0
25,1,0.78,26,1200.0,0
146,4,22.43,6,7395.17,1
118,2,19.2,30,4958.8,0
103,5,10.78,23,6230.34,1
58,2,10.62,7,2763.8,0
41,4,11.73,23,2136.56,0
61,2,13.14,36,2079.56,0
145,4,2.58,13,9638.06,1
149,1,8.54,24,7677.35,1
85,2,10.98,34,3785.0,0
131,5,9.04,1,8573.47,1
110,2,21.75,1,4612.71,0
146,2,8.98,7,8257.89,1
31,4,17.27,33,1200.0,0
140,4,14.6,24,7715.38,1
106,2,15.42,1,5283.16,0
123,5,23.93,31,6237.32,1
46,1,4.46,29,2359.21,0
132,5,14.92,39,7083.28,1
64,5,22.6,31,2338.08,0
71,2,8.11,21,3373.77,1
126,5,6.02,24,7904.47,1
51,3,11.77,0,2830.38,0
30,2,20.93,26,1200.0,0
79,2,15.23,19,3306.02,0
97,1,15.82,34,3405.52,0
58,1,2.0,14,3162.28,0
86,5,21.98,13,4410.71,1
51,4,2.14,15,3951.91,1
45,2,6.69,16,2376.81,0
48,1,11.27,21,1719.92,0
32,3,22.97,37,1200.0,0
58,4,21.55,1,2716.83,0
124,5,1.31,20,8391.91,1
48,3,0.47,11,3492.16,1
33,3,23.87,27,1200.0,0
57,4,19.71,18,2195.13,0
62,3,20.77,34,1948.02,0
32,5,4.17,37,2588.61,0
47,2,7.89,18,2039.46,0
148,2,11.63,37,7539.92,1
43,5,22.54,25,1292.52,0
101,4,5.18,33,6347.33,1
133,5,11.73,31,7622.51,1
46,3,12.57,38,1418.04,0
37,1,5.16,12,1632.42,0
68,1,14.5,0,2836.35,0
32,1,11.15,15,1200.0,0
118,5,22.94,4,6307.99,1
102,3,0.59,17,6614.39,1
148,2,20.56,5,7321.09,1
37,2,2.37,14,2503.17,0
136,5,8.32,20,8324.12,1
78,2,11.2,12,3868.9,0
105,4,10.65,21,5938.12,1
101,3,10.88,13,5757.49,1
113,1,18.51,25,4857.5,0
138,4,2.67,14,8578.62,1
36,1,8.1,22,1200.0,0
113,5,9.58,9,7021.7,1
27,4,4.79,30,1552.75,0
122,2,3.3,15,7333.29,1
52,5,4.61,2,4082.01,1
33,4,14.87,33,1309.66,0
110,4,10.04,19,6129.74,1
46,4,23.5,29,1200.0,0
51,5,4.21,28,3781.25,1
77,1,6.51,7,4516.87,1
65,1,5.15,8,3446.36,1
146,4,4.87,19,9560.63,1
35,1,20.11,30,1200.0,0
141,5,21.66,28,7136.33,1
45,5,0.35,3,4525.88,1
57,5,1.57,9,4730.28,1
28,1,12.68,1,1200.0,0
51,3,8.05,38,2331.38,0
147,2,5.35,36,7789.81,1
110,1,22.32,4,4780.4,0
63,2,15.31,12,2754.32,0
50,2,7.12,25,2237.51,0
121,5,7.56,0,8219.61,1
109,4,12.94,22,6203.75,1
60,1,11.06,5,2560.36,0
48,2,5.78,19,2644.7,0
39,4,18.79,19,1200.0,0
35,4,23.86,27,1200.0,0
28,5,20.66,29,1200.0,0
44,5,6.07,3,3543.61,1
88,5,3.78,34,5857.28,1
29,3,13.62,29,1200.0,0
50,3,9.79,35,2067.27,0
128,5,5.29,22,8185.21,1
128,2,20.58,5,6102.23,1
91,1,0.95,38,4699.04,1
112,2,11.43,38,5901.39,1
99,4,6.32,7,6456.39,1
101,2,22.7,19,3753.32,0
71,5,3.58,21,5335.64,1
90,3,5.88,36,4934.41,1
43,1,4.07,17,1700.95,0
67,5,20.09,11,3018.7,1
107,5,9.6,32,6333.52,1
138,4,12.03,2,8408.88,1
50,5,13.77,13,3147.1,0
149,5,14.89,2,9295.04,1
51,5,9.92,36,3155.02,0
130,3,0.87,26,7994.07,1
65,3,23.2,26,1572.5,0
39,5,10.97,5,3130.32,1
116,1,5.53,7,6746.42,1
61,4,19.12,22,2537.16,0
144,4,11.52,37,7738.51,1
64,3,9.98,37,3078.95,0
39,3,24.82,23,1200.0,0
95,3,2.27,0,6434.13,1
53,4,7.55,2,3370.89,0
92,1,23.02,6,3099.43,0
44,3,13.07,16,1716.73,0
52,3,16.77,12,2118.94,0
59,4,24.11,36,1678.96,0
31,5,14.67,0,1923.31,0
67,1,18.96,37,1200.0,0
103,1,6.88,27,5154.91,0
112,3,6.22,5,6754.94,1
35,1,22.5,17,1200.0,0
68,3,14.01,7,3448.46,0
145,3,24.14,15,6369.98,1
93,2,23.35,35,2957.92,0
74,5,5.36,20,5355.47,1
123,2,19.32,30,5342.57,0
110,5,1.82,0,8387.71,1
120,2,21.16,28,5220.27,0
141,1,21.0,37,5810.99,0
92,3,24.36,36,3234.85,0
126,5,24.61,16,6438.74,1
133,5,1.4,31,9149.72,1
62,3,9.95,9,3525.59,1
33,1,2.42,30,1454.92,0
83,2,6.74,31,4530.07,0
70,5,11.27,34,4205.54,1
98,4,8.45,1,6373.25,1
41,4,21.67,27,1200.0,0
69,3,18.73,10,3481.04,0
47,5,10.91,25,2753.59,0
35,1,12.64,23,1200.0,0
30,5,14.5,24,1507.22,0
78,1,5.63,25,3547.35,0
42,4,7.89,15,2439.89,1
53,2,23.4,35,1200.0,0
49,1,2.33,28,2421.55,0
136,1,8.93,4,7921.77,1
124,2,12.36,0,7071.63,1
134,5,24.68,35,6430.54,0
28,3,16.6,11,1200.0,0
27,1,0.49,2,1841.89,0
43,1,17.15,37,1200.0,0
143,2,19.34,6,7291.65,1
76,1,1.74,20,4356.66,1
54,1,1.0,27,3192.11,0
132,3,7.22,11,7719.16,1
27,5,19.35,0,1200.0,0
51,4,12.03,34,2411.28,0
138,3,2.18,19,8630.31,1
83,5,23.09,23,3797.7,0
68,3,14.35,1,3967.67,1
123,2,22.16,20,5419.93,1
81,2,4.02,0,5278.15,1
63,1,4.21,31,2551.11,0
116,1,17.49,16,5290.22,1
71,4,8.62,23,3770.95,0
65,4,15.3,20,3274.67,0
84,4,8.13,27,5127.55,1
104,3,19.17,6,5234.72,1
79,4,16.38,3,4321.15,1
128,1,21.94,13,5475.99,0
104,5,17.55,1,5995.32,1
121,5,22.03,10,6594.29,1
37,4,10.33,9,2304.13,0
62,2,20.73,18,2000.6,0
142,4,24.23,34,6673.2,1
80,4,14.2,8,4283.61,1
124,1,23.41,32,4404.93,0
28,1,3.48,29,1200.0,0
56,1,16.06,28,1200.0,0
137,5,2.87,10,9550.77,1
44,1,11.31,25,1366.32,0
113,1,10.29,12,5585.48,1
100,4,10.55,15,5776.26,1
38,4,12.85,31,1935.78,0
116,1,9.3,36,5616.95,0
149,1,5.48,9,8358.3,1
95,2,11.21,3,4680.55,1
76,4,16.02,15,3900.77,0
75,2,15.77,33,2846.13,0
109,4,16.13,29,5801.78,1
69,1,11.1,0,3440.02,0
128,4,5.81,21,8217.35,1
142,1,3.82,17,7946.51,1
148,3,7.11,26,8692.04,1
73,1,14.87,20,2713.84,0
48,1,13.25,21,1200.0,0
120,4,15.03,24,6442.08,1
43,4,21.96,8,1487.59,0
35,2,8.24,38,1200.0,0
88,3,10.17,0,5250.08,1
143,5,17.73,37,7737.05,1
38,3,5.02,37,2346.39,0
122,4,6.67,31,7391.02,1
83,5,6.22,37,5349.16,1
56,2,6.63,8,3279.34,0
129,2,19.19,20,6010.59,0
91,2,10.28,38,4423.19,0
66,4,8.44,28,3666.57,1
105,1,6.76,11,5705.44,1
27,3,15.14,33,1200.0,0
72,5,19.08,15,3610.09,1
92,3,7.34,26,5245.86,1
119,4,13.42,27,6647.55,1
68,5,7.51,36,4544.04,1
109,2,3.21,29,6242.94,1
53,4,23.2,39,1200.0,0
86,4,9.75,26,4648.39,1
91,1,24.05,33,2264.58,0
33,4,18.2,30,1200.0,0
114,4,21.35,35,5068.27,0
117,1,23.71,30,4260.64,0
33,1,18.26,4,1200.0,0
87,4,0.57,14,5992.43,1
93,4,3.0,9,6385.83,1
46,3,19.93,28,1200.0,0
49,2,20.64,33,1200.0,0
136,4,22.95,13,6533.29,1
89,2,19.46,38,3228.37,0
103,3,11.44,38,5265.53,0
100,4,6.26,35,6509.03,1
140,5,9.62,25,8445.83,1
130,3,21.21,16,6517.24,1
135,4,13.16,6,7894.76,1
40,1,6.43,0,2123.22,0
103,3,21.44,23,4637.55,0
123,3,16.69,33,6009.23,0
108,4,4.32,13,7296.69,1
92,5,19.81,34,4396.48,0
116,4,23.27,24,5081.62,1
59,1,18.78,22,1225.47,0
80,4,18.33,26,3209.2,0
141,2,23.17,39,5656.93,0
40,5,17.14,12,2235.04,0
130,2,15.9,38,5956.53,1
88,2,19.26,27,3381.82,0
144,2,9.14,15,7929.74,1
132,4,8.57,6,8120.47,1
99,1,8.88,17,4946.56,1
81,5,5.87,24,5335.33,1
117,3,10.03,22,6444.28,1
46,1,5.38,4,2193.75,0
92,2,12.01,5,5306.05,1
46,1,5.45,15,2386.67,0
94,3,21.24,1,4072.9,0
118,4,21.57,11,5898.86,1
97,3,18.51,19,4255.54,0
84,2,5.29,28,4518.29,0
119,5,4.88,38,7104.96,1
122,3,24.29,15,5671.14,0
29,2,17.63,9,1200.0,0
35,2,4.26,33,1638.07,0
92,5,4.61,23,5872.45,1
84,4,5.61,29,5419.94,1
76,1,24.3,26,1864.97,0
66,3,1.9,0,4840.83,1
97,1,20.43,18,3381.49,0
41,4,16.4,28,1200.0,0
127,2,18.0,35,5514.56,1
40,4,5.93,0,3195.53,0
37,3,15.38,33,1200.0,0
77,3,13.59,1,3723.68,0
103,4,8.22,7,6931.27,1
47,4,19.81,16,1862.71,0
60,2,1.91,35,3540.88,0
146,3,23.63,25,6889.57,0
106,3,13.16,31,4908.24,0
96,2,8.91,26,4803.6,1
68,2,7.03,35,3111.49,0
82,4,8.54,7,5281.65,1
134,2,11.84,30,6728.64,1
56,4,17.23,37,2085.96,0
112,5,24.26,31,4982.11,0
97,4,12.69,7,5483.32,1
129,4,6.6,11,8287.63,1
117,5,11.38,22,6978.88,1
141,5,10.95,30,8592.61,1
94,2,6.48,26,4785.61,1
60,1,1.35,21,3280.45,0
67,5,12.42,32,3731.79,0
116,2,5.52,38,6248.54,1
91,2,18.45,20,3282.18,0
61,4,5.42,0,4695.19,1
55,2,13.07,4,2515.71,0
109,3,23.98,25,4193.26,0
91,5,13.18,30,5221.64,1
106,1,18.9,25,3859.55,0
146,4,2.75,13,9403.66,1
81,1,12.86,0,3962.35,0
126,3,3.13,0,7874.08,1
121,1,11.58,26,5743.09,1
98,1,19.0,0,4418.78,0
140,2,4.56,12,8231.1,1
82,5,21.36,0,4464.25,1
77,1,14.08,16,3120.98,0
130,2,5.23,10,7894.28,1
148,3,13.44,16,7837.15,1
119,2,16.18,13,5576.62,1
93,3,21.02,30,3280.75,0
139,4,20.9,34,6586.37,1
142,2,10.38,30,7215.03,1
59,4,14.99,35,2561.37,0
86,5,12.44,34,4932.05,1
34,2,3.56,30,1557.27,0
130,5,10.75,19,7788.55,1
106,5,4.69,4,7526.67,1
26,5,11.94,11,1520.47,0
47,5,16.18,22,2449.56,0
25,1,18.12,27,1200.0,0
129,4,16.12,5,7227.02,1
90,3,1.75,31,5488.71,1
29,2,13.96,36,1200.0,0
73,5,7.91,38,4306.96,1
141,1,14.6,5,7175.25,1
101,4,12.55,3,6516.41,1
84,3,12.13,37,4306.54,0
115,2,8.04,18,6326.43,1
121,1,15.16,31,4996.96,0
135,2,8.4,13,7490.32,1
37,4,5.49,14,2338.61,1
142,3,14.91,5,7871.99,1
47,3,6.08,23,2347.3,0
127,5,2.9,11,8783.32,1
89,3,21.42,14,3879.38,0
73,5,16.52,6,4147.66,1
34,5,22.72,2,1200.0,0
69,1,8.89,23,2572.36,0
36,4,22.23,29,1200.0,0
143,5,14.23,33,7887.72,1
34,5,2.24,7,3332.83,1
148,1,23.5,8,5991.51,1
89,2,23.07,37,2594.81,0
134,4,4.76,35,8597.8,1
72,4,0.59,36,4975.36,1
48,4,12.49,6,2372.4,1
57,4,9.96,18,3462.26,1
32,1,3.31,21,1438.17,0
44,1,23.33,38,1200.0,0
101,1,19.14,11,4319.61,0
101,5,14.36,31,5718.16,1
69,4,20.14,19,2990.94,0
113,4,21.38,32,5200.33,0
51,2,2.42,39,2943.85,0
25,3,13.97,11,1200.0,0
68,3,7.18,6,4156.68,0
107,3,2.03,18,6728.86,1
104,3,12.8,4,5860.91,1
91,4,21.0,28,4125.96,0
63,5,19.67,8,3070.36,1
107,1,19.52,12,4269.04,0
112,4,15.49,11,6179.85,1
114,5,1.6,7,8429.26,1
108,4,10.16,17,6335.64,1
118,5,21.07,35,5674.65,1
40,1,23.72,34,1200.0,0
94,2,12.86,9,4985.96,0
81,4,24.98,26,3135.64,0
95,2,20.56,38,3301.87,0
53,4,18.48,39,1905.7,0
114,3,0.63,6,7762.38,1
37,5,11.76,30,2180.38,0
62,5,14.18,30,3010.15,0
49,4,5.59,12,3613.2,0
66,2,1.76,15,4026.17,0
114,5,0.48,35,8252.26,1
73,4,4.27,32,4402.18,1
109,5,21.9,32,5451.5,1
40,1,21.19,35,1200.0,0
37,5,6.28,5,2896.59,1
124,3,0.94,18,7674.89,1
55,5,14.06,23,3146.68,0
32,5,20.94,7,1200.0,0
33,4,19.93,35,1200.0,0
82,5,14.16,14,5107.68,1
64,5,18.82,28,2730.95,0
72,3,23.32,8,2776.06,0
95,2,21.95,11,3877.32,0
93,3,2.19,31,5401.28,1
31,3,17.11,22,1200.0,0
116,3,12.52,39,5911.86,1
86,1,20.02,16,2926.54,0
90,5,20.05,14,4661.03,1
100,3,0.58,3,6798.09,1
69,4,11.11,13,3910.55,1
101,2,2.15,10,6228.24,1
59,2,13.97,27,2496.18,0
139,3,19.53,11,6771.08,1
116,4,12.08,38,6498.1,1
54,3,0.38,39,3116.04,0
54,2,18.42,27,1413.98,0
102,3,2.51,14,6574.93,1
29,2,5.7,23,1654.7,0
104,5,13.53,39,5420.89,1
80,2,15.99,35,2982.69,0
35,1,14.95,36,1200.0,0
53,1,6.57,32,1988.48,0
63,2,5.87,3,3853.29,0
117,2,16.74,0,5936.93,1
78,2,3.95,8,4342.89,1
60,2,13.63,16,2110.49,0
53,1,11.17,8,1673.95,0
127,5,15.24,6,8049.34,1
81,1,5.52,1,4608.96,0
88,5,15.86,31,4746.17,1
29,3,8.82,35,1431.31,0
53,5,8.9,19,3651.82,1
51,2,24.26,2,1331.34,0
85,1,2.12,24,4813.41,1
81,1,24.2,31,1848.51,0
45,1,8.23,0,2411.45,0
139,3,24.77,28,6036.85,0
85,1,21.3,27,2473.55,0
148,2,24.24,35,6090.34,0
81,5,9.58,25,4958.35,1
44,1,20.97,9,1200.0,0
118,5,20.46,39,6059.74,1
103,4,3.89,34,6311.56,1
39,1,24.18,33,1200.0,0
60,4,4.21,7,4450.57,1
109,1,22.48,32,3770.53,0
117,4,13.45,28,6419.1,1
47,1,15.66,25,1200.0,0
42,3,22.54,9,1200.0,0
104,1,19.75,34,3943.37,0
115,3,14.63,16,6161.67,1
52,2,21.68,10,1356.95,0
33,3,1.55,35,2397.15,0
147,4,23.51,9,7200.68,1
124,3,21.23,0,6146.95,1
81,4,23.25,19,3008.95,0
72,4,11.13,29,3744.66,1
134,3,2.55,1,8975.01,1
67,5,10.63,32,3848.94,1
62,3,2.22,2,4315.66,1
116,1,5.84,39,6035.75,1
45,2,18.37,29,1200.0,0
78,3,17.48,24,2672.67,0
80,1,3.17,9,4675.49,1
142,3,13.58,19,7549.66,1
144,3,8.86,14,8514.67,1
47,1,2.78,32,2000.19,0
92,4,16.71,30,4548.07,1
147,4,8.32,31,8620.72,1
78,4,3.06,16,5320.94,1
38,1,14.32,21,1200.0,0
144,4,12.42,14,8381.61,1
88,5,4.54,39,5516.28,1
129,3,19.76,31,5854.95,1
122,1,11.02,4,6287.55,1
